## E4 coreboot sweep normal
gp,pin,rcu,min,p50,mean,p95,max
1,0,normal,259.00,279.81,278.04,288.10,294.79
2,0-1,normal,186.11,227.61,221.69,245.35,247.46
4,0-3,normal,169.55,196.29,194.83,220.17,221.54
8,0-7,normal,183.74,199.97,202.23,224.17,227.43
16,0-15,normal,191.25,211.09,209.80,225.43,227.44
32,0-31,normal,161.69,204.94,202.96,216.19,220.26
64,0-63,normal,188.96,206.75,205.98,216.02,222.38
## E4 coreboot sweep expedited
gp,pin,rcu,min,p50,mean,p95,max
1,0,expedited,190.65,202.41,201.88,213.58,215.25
2,0-1,expedited,127.82,145.63,142.29,150.96,152.68
4,0-3,expedited,115.42,118.48,118.72,122.05,123.60
8,0-7,expedited,112.55,113.73,114.24,116.44,117.09
16,0-15,expedited,111.60,113.26,113.27,114.63,115.33
32,0-31,expedited,113.37,114.82,114.76,116.32,116.52
64,0-63,expedited,119.12,120.88,120.89,122.36,122.43
