gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
1,expedited,1,1,0.037,4,1
1,expedited,1,2,0.030,4,1
1,expedited,1,3,0.034,4,1
1,expedited,1,4,0.031,4,1
1,expedited,1,5,0.027,4,1
1,expedited,1,6,0.029,4,1
1,expedited,1,7,0.032,4,1
1,expedited,1,8,0.028,4,1
1,expedited,1,9,0.037,4,1
1,expedited,1,10,0.032,4,1
1,expedited,1,11,0.028,4,1
1,expedited,1,12,0.029,4,1
1,expedited,1,13,0.030,4,1
1,expedited,1,14,0.029,4,1
1,expedited,1,15,0.028,4,1
1,expedited,1,16,0.028,5,1
1,expedited,1,17,0.029,4,1
1,expedited,1,18,0.029,4,1
1,expedited,1,19,0.032,4,1
1,expedited,1,20,0.026,4,1
1,expedited,1,21,0.027,4,1
1,expedited,1,22,0.037,4,1
1,expedited,1,23,0.028,4,1
1,expedited,1,24,0.029,4,1
1,expedited,1,25,0.030,4,1
1,expedited,1,26,0.030,4,1
1,expedited,1,27,0.026,4,1
1,expedited,1,28,0.026,4,1
1,expedited,1,29,0.032,4,1
1,expedited,1,30,0.032,4,1
1,expedited,1,31,0.031,4,1
1,expedited,1,32,0.028,4,1
1,expedited,1,33,0.030,4,1
1,expedited,1,34,0.028,4,1
1,expedited,1,35,0.031,4,1
1,expedited,1,36,0.033,4,1
1,expedited,1,37,0.029,4,1
1,expedited,1,38,0.028,4,1
1,expedited,1,39,0.030,4,1
1,expedited,1,40,0.027,4,1
2,expedited,1,1,0.026,5,2
2,expedited,1,2,0.028,5,2
2,expedited,1,3,0.027,5,2
2,expedited,1,4,0.030,5,2
2,expedited,1,5,0.029,5,2
2,expedited,1,6,0.030,5,2
2,expedited,1,7,0.029,5,2
2,expedited,1,8,0.031,6,2
2,expedited,1,9,0.029,5,2
2,expedited,1,10,0.030,5,2
2,expedited,1,11,0.029,5,2
2,expedited,1,12,0.026,5,2
2,expedited,1,13,0.028,5,2
2,expedited,1,14,0.028,5,2
2,expedited,1,15,0.030,5,2
2,expedited,1,16,0.027,5,2
2,expedited,1,17,0.031,5,2
2,expedited,1,18,0.029,5,2
2,expedited,1,19,0.030,5,2
2,expedited,1,20,0.029,5,2
2,expedited,1,21,0.028,5,2
2,expedited,1,22,0.033,5,2
2,expedited,1,23,0.029,5,2
2,expedited,1,24,0.030,5,2
2,expedited,1,25,0.027,5,2
2,expedited,1,26,0.036,5,2
2,expedited,1,27,0.028,6,2
2,expedited,1,28,0.028,5,2
2,expedited,1,29,0.029,5,2
2,expedited,1,30,0.030,5,2
2,expedited,1,31,0.030,5,2
2,expedited,1,32,0.030,5,2
2,expedited,1,33,0.028,5,2
2,expedited,1,34,0.028,5,2
2,expedited,1,35,0.028,5,2
2,expedited,1,36,0.032,5,2
2,expedited,1,37,0.029,5,2
2,expedited,1,38,0.033,5,2
2,expedited,1,39,0.029,5,2
2,expedited,1,40,0.027,5,2
4,expedited,1,1,0.029,7,4
4,expedited,1,2,0.028,7,4
4,expedited,1,3,0.034,7,4
4,expedited,1,4,0.027,7,4
4,expedited,1,5,0.034,8,4
4,expedited,1,6,0.028,7,4
4,expedited,1,7,0.027,8,4
4,expedited,1,8,0.031,7,4
4,expedited,1,9,0.027,7,4
4,expedited,1,10,0.032,7,4
4,expedited,1,11,0.030,7,4
4,expedited,1,12,0.029,8,4
4,expedited,1,13,0.061,8,4
4,expedited,1,14,0.029,7,4
4,expedited,1,15,0.028,7,4
4,expedited,1,16,0.030,7,4
4,expedited,1,17,0.031,7,4
4,expedited,1,18,0.026,8,4
4,expedited,1,19,0.031,8,4
4,expedited,1,20,0.032,7,4
4,expedited,1,21,0.027,7,4
4,expedited,1,22,0.029,7,4
