gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
1,normal,0,1,17,4,1
1,normal,0,2,20,4,1
1,normal,0,3,23,4,1
1,normal,0,4,22,4,1
1,normal,0,5,12,4,1
1,normal,0,6,24,4,1
1,normal,0,7,16,4,1
1,normal,0,8,22,4,1
1,normal,0,9,20,4,1
1,normal,0,10,20,4,1
1,normal,0,11,22,4,1
1,normal,0,12,15,4,1
1,normal,0,13,17,4,1
1,normal,0,14,17,4,1
1,normal,0,15,17,4,1
1,normal,0,16,18,4,1
1,normal,0,17,20,4,1
1,normal,0,18,23,4,1
1,normal,0,19,15,4,1
1,normal,0,20,18,4,1
1,normal,0,21,18,4,1
1,normal,0,22,16,4,1
1,normal,0,23,16,4,1
1,normal,0,24,19,4,1
1,normal,0,25,17,4,1
1,normal,0,26,16,4,1
1,normal,0,27,17,4,1
1,normal,0,28,20,4,1
1,normal,0,29,16,4,1
1,normal,0,30,15,4,1
1,normal,0,31,17,4,1
1,normal,0,32,17,4,1
1,normal,0,33,18,4,1
1,normal,0,34,15,4,1
1,normal,0,35,17,4,1
1,normal,0,36,18,4,1
1,normal,0,37,19,4,1
1,normal,0,38,14,4,1
1,normal,0,39,10,4,1
1,normal,0,40,16,4,1
2,normal,0,1,17,5,2
2,normal,0,2,10,5,2
2,normal,0,3,12,5,2
2,normal,0,4,22,5,2
2,normal,0,5,16,5,2
2,normal,0,6,17,5,2
2,normal,0,7,17,5,2
2,normal,0,8,15,5,2
2,normal,0,9,14,5,2
2,normal,0,10,20,5,2
2,normal,0,11,18,5,2
2,normal,0,12,22,5,2
2,normal,0,13,13,5,2
2,normal,0,14,12,5,2
2,normal,0,15,13,5,2
2,normal,0,16,14,5,2
2,normal,0,17,23,5,2
2,normal,0,18,14,5,2
2,normal,0,19,17,5,2
2,normal,0,20,21,5,2
2,normal,0,21,19,5,2
2,normal,0,22,11,5,2
2,normal,0,23,10,5,2
2,normal,0,24,9.9,5,2
2,normal,0,25,17,5,2
2,normal,0,26,18,5,2
2,normal,0,27,13,5,2
2,normal,0,28,12,5,2
2,normal,0,29,11,5,2
2,normal,0,30,17,5,2
2,normal,0,31,17,5,2
2,normal,0,32,7.7,5,2
2,normal,0,33,12,5,2
2,normal,0,34,17,5,2
2,normal,0,35,14,5,2
2,normal,0,36,12,5,2
2,normal,0,37,21,5,2
2,normal,0,38,15,5,2
2,normal,0,39,7.5,5,2
2,normal,0,40,21,5,2
4,normal,0,1,13,7,4
4,normal,0,2,17,7,4
4,normal,0,3,12,8,4
4,normal,0,4,17,8,4
4,normal,0,5,12,7,4
4,normal,0,6,20,7,4
4,normal,0,7,9.1,7,4
4,normal,0,8,16,7,4
4,normal,0,9,9.3,7,4
4,normal,0,10,13,7,4
4,normal,0,11,14,7,4
4,normal,0,12,14,7,4
4,normal,0,13,16,7,4
4,normal,0,14,23,7,4
4,normal,0,15,17,7,4
4,normal,0,16,15,7,4
4,normal,0,17,18,7,4
4,normal,0,18,17,7,4
4,normal,0,19,16,7,4
4,normal,0,20,14,8,4
4,normal,0,21,18,7,4
4,normal,0,22,21,7,4
4,normal,0,23,10,8,4
4,normal,0,24,13,8,4
4,normal,0,25,15,8,4
4,normal,0,26,11,7,4
4,normal,0,27,19,7,4
4,normal,0,28,9.6,7,4
4,normal,0,29,13,8,4
4,normal,0,30,14,8,4
4,normal,0,31,11,7,4
4,normal,0,32,22,8,4
4,normal,0,33,15,7,4
4,normal,0,34,14,7,4
4,normal,0,35,11,8,4
4,normal,0,36,10,8,4
4,normal,0,37,12,7,4
4,normal,0,38,13,7,4
4,normal,0,39,13,7,4
4,normal,0,40,17,8,4
8,normal,0,1,14,11,8
8,normal,0,2,9.4,11,8
8,normal,0,3,13,10,8
8,normal,0,4,9.8,10,8
8,normal,0,5,17,11,8
8,normal,0,6,17,11,8
8,normal,0,7,16,11,8
8,normal,0,8,16,11,8
8,normal,0,9,15,11,8
8,normal,0,10,12,11,8
8,normal,0,11,22,11,8
8,normal,0,12,11,10,8
8,normal,0,13,6.0,11,8
8,normal,0,14,19,11,8
8,normal,0,15,14,11,8
8,normal,0,16,7.3,11,8
8,normal,0,17,24,11,8
8,normal,0,18,25,11,8
8,normal,0,19,11,11,8
8,normal,0,20,16,11,8
8,normal,0,21,14,11,8
8,normal,0,22,18,10,8
8,normal,0,23,17,11,8
8,normal,0,24,9.4,11,8
8,normal,0,25,12,11,8
8,normal,0,26,18,11,8
8,normal,0,27,13,11,8
8,normal,0,28,16,11,8
8,normal,0,29,19,11,8
8,normal,0,30,11,11,8
8,normal,0,31,13,11,8
8,normal,0,32,16,10,8
8,normal,0,33,12,11,8
8,normal,0,34,11,11,8
8,normal,0,35,21,11,8
8,normal,0,36,9.9,11,8
8,normal,0,37,15,11,8
8,normal,0,38,21,11,8
8,normal,0,39,21,11,8
8,normal,0,40,13,11,8
16,normal,0,1,13,14,16
16,normal,0,2,16,13,16
16,normal,0,3,10,11,16
16,normal,0,4,23,16,16
16,normal,0,5,14,13,16
16,normal,0,6,10,12,16
16,normal,0,7,10,14,16
16,normal,0,8,12,14,16
16,normal,0,9,19,13,16
16,normal,0,10,14,14,16
16,normal,0,11,21,15,16
16,normal,0,12,23,14,16
16,normal,0,13,21,15,16
16,normal,0,14,16,13,16
16,normal,0,15,11,12,16
16,normal,0,16,14,12,16
16,normal,0,17,18,13,16
16,normal,0,18,26,16,16
16,normal,0,19,10,16,16
16,normal,0,20,21,16,16
16,normal,0,21,14,14,16
16,normal,0,22,18,13,16
16,normal,0,23,18,14,16
16,normal,0,24,15,14,16
16,normal,0,25,19,13,16
16,normal,0,26,22,16,16
16,normal,0,27,19,13,16
16,normal,0,28,25,16,16
16,normal,0,29,15,13,16
16,normal,0,30,16,13,16
16,normal,0,31,17,14,16
16,normal,0,32,17,13,16
16,normal,0,33,17,12,16
16,normal,0,34,18,14,16
16,normal,0,35,16,17,16
16,normal,0,36,16,12,16
16,normal,0,37,17,13,16
16,normal,0,38,13,12,16
16,normal,0,39,13,12,16
16,normal,0,40,18,14,16
32,normal,0,1,17,17,32
32,normal,0,2,12,15,32
32,normal,0,3,18,13,32
32,normal,0,4,16,13,32
32,normal,0,5,7.0,17,32
32,normal,0,6,13,14,32
32,normal,0,7,16,15,32
32,normal,0,8,12,15,32
32,normal,0,9,13,15,32
32,normal,0,10,12,16,32
32,normal,0,11,12,13,32
32,normal,0,12,13,14,32
32,normal,0,13,17,17,32
32,normal,0,14,15,18,32
32,normal,0,15,12,17,32
32,normal,0,16,11,14,32
32,normal,0,17,15,15,32
32,normal,0,18,18,13,32
32,normal,0,19,16,16,32
32,normal,0,20,15,15,32
32,normal,0,21,16,17,32
32,normal,0,22,8.9,15,32
32,normal,0,23,24,13,32
32,normal,0,24,13,18,32
32,normal,0,25,20,19,32
32,normal,0,26,18,13,32
32,normal,0,27,15,13,32
32,normal,0,28,16,13,32
32,normal,0,29,15,13,32
32,normal,0,30,16,15,32
32,normal,0,31,15,17,32
32,normal,0,32,10,12,32
32,normal,0,33,16,17,32
32,normal,0,34,14,15,32
32,normal,0,35,21,18,32
32,normal,0,36,17,15,32
32,normal,0,37,13,17,32
32,normal,0,38,19,16,32
32,normal,0,39,17,16,32
32,normal,0,40,20,13,32
64,normal,0,1,12,13,64
64,normal,0,2,7.6,18,64
64,normal,0,3,21,15,64
64,normal,0,4,13,13,64
64,normal,0,5,15,14,64
64,normal,0,6,17,13,64
64,normal,0,7,20,19,64
64,normal,0,8,18,14,64
64,normal,0,9,9.7,16,64
64,normal,0,10,17,18,64
64,normal,0,11,19,13,64
64,normal,0,12,13,16,64
64,normal,0,13,18,13,64
64,normal,0,14,22,13,64
64,normal,0,15,18,17,64
64,normal,0,16,14,13,64
64,normal,0,17,22,15,64
64,normal,0,18,23,14,64
64,normal,0,19,18,15,64
64,normal,0,20,21,18,64
64,normal,0,21,13,18,64
64,normal,0,22,19,17,64
64,normal,0,23,7.9,18,64
64,normal,0,24,18,13,64
64,normal,0,25,17,18,64
64,normal,0,26,15,18,64
64,normal,0,27,19,15,64
64,normal,0,28,15,18,64
64,normal,0,29,13,16,64
64,normal,0,30,14,17,64
64,normal,0,31,18,16,64
64,normal,0,32,19,13,64
64,normal,0,33,11,18,64
64,normal,0,34,25,17,64
64,normal,0,35,20,13,64
64,normal,0,36,16,16,64
64,normal,0,37,20,17,64
64,normal,0,38,13,14,64
64,normal,0,39,19,14,64
64,normal,0,40,11,13,64
