## E4 coreboot sweep normal
gp,pin,rcu,min,p50,mean,p95,max
1,0,normal,276.73,287.38,286.75,293.82,296.32
2,0-1,normal,221.77,235.62,237.03,251.25,251.89
4,0-3,normal,200.26,217.85,216.52,226.21,228.45
8,0-7,normal,197.35,216.68,216.55,225.29,232.00
16,0-15,normal,209.34,225.56,227.27,244.48,249.42
32,0-31,normal,181.95,203.51,203.36,223.08,225.59
64,0-63,normal,200.73,213.45,212.00,218.76,218.85
## E4 coreboot sweep expedited
gp,pin,rcu,min,p50,mean,p95,max
1,0,expedited,180.61,191.08,190.87,197.20,198.97
2,0-1,expedited,123.23,142.56,140.25,146.72,151.23
4,0-3,expedited,110.42,113.87,113.91,117.47,118.52
8,0-7,expedited,107.52,109.61,109.70,111.82,113.16
16,0-15,expedited,105.68,108.11,107.84,109.61,110.26
32,0-31,expedited,107.16,108.97,108.84,110.38,110.50
64,0-63,expedited,112.00,113.44,113.37,114.56,116.37
