gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
1,normal,0,1,5.3,4,1
1,normal,0,2,4.1,4,1
1,normal,0,3,4.4,4,1
1,normal,0,4,5.0,4,1
1,normal,0,5,9.4,5,1
1,normal,0,6,5.3,5,1
1,normal,0,7,6.2,5,1
1,normal,0,8,11,4,1
1,normal,0,9,11,4,1
1,normal,0,10,5.2,4,1
1,normal,0,11,4.4,4,1
1,normal,0,12,6.7,4,1
1,normal,0,13,5.0,5,1
1,normal,0,14,5.3,4,1
1,normal,0,15,5.2,4,1
1,normal,0,16,5.6,4,1
1,normal,0,17,6.4,4,1
1,normal,0,18,5.6,4,1
1,normal,0,19,11,4,1
1,normal,0,20,7.7,4,1
1,normal,0,21,7.7,4,1
1,normal,0,22,4.5,4,1
1,normal,0,23,4.6,4,1
1,normal,0,24,12,4,1
1,normal,0,25,5.5,4,1
1,normal,0,26,3.3,4,1
1,normal,0,27,6.6,4,1
1,normal,0,28,10,4,1
1,normal,0,29,5.6,4,1
1,normal,0,30,6.7,4,1
1,normal,0,31,4.8,4,1
1,normal,0,32,6.8,4,1
1,normal,0,33,9.3,4,1
1,normal,0,34,5.3,4,1
1,normal,0,35,5.6,4,1
1,normal,0,36,3.4,4,1
1,normal,0,37,8.9,4,1
1,normal,0,38,4.5,4,1
1,normal,0,39,4.5,4,1
1,normal,0,40,9.5,4,1
2,normal,0,1,1.1,5,2
2,normal,0,2,8.2,5,2
2,normal,0,3,5.5,5,2
2,normal,0,4,8.4,5,2
2,normal,0,5,4.6,5,2
2,normal,0,6,7.4,5,2
2,normal,0,7,6.8,5,2
2,normal,0,8,4.0,5,2
2,normal,0,9,7.1,5,2
2,normal,0,10,4.7,5,2
2,normal,0,11,6.6,5,2
2,normal,0,12,8.3,5,2
2,normal,0,13,10,5,2
2,normal,0,14,3.4,5,2
2,normal,0,15,5.8,5,2
2,normal,0,16,9.6,5,2
2,normal,0,17,4.5,5,2
2,normal,0,18,14,5,2
2,normal,0,19,9.6,5,2
2,normal,0,20,7.1,5,2
2,normal,0,21,2.2,5,2
2,normal,0,22,7.5,5,2
2,normal,0,23,9.3,5,2
2,normal,0,24,14,5,2
2,normal,0,25,5.6,5,2
2,normal,0,26,7.7,5,2
2,normal,0,27,4.5,5,2
2,normal,0,28,7.5,5,2
2,normal,0,29,2.4,5,2
2,normal,0,30,6.5,6,2
2,normal,0,31,9.1,5,2
2,normal,0,32,12,5,2
2,normal,0,33,3.6,5,2
2,normal,0,34,7.7,5,2
2,normal,0,35,6.7,5,2
2,normal,0,36,7.2,5,2
2,normal,0,37,8.7,5,2
2,normal,0,38,5.9,5,2
2,normal,0,39,5.0,5,2
2,normal,0,40,3.6,5,2
4,normal,0,1,9.5,8,4
4,normal,0,2,4.7,7,4
4,normal,0,3,5.0,8,4
4,normal,0,4,9.4,7,4
4,normal,0,5,2.6,7,4
4,normal,0,6,4.7,7,4
4,normal,0,7,4.6,7,4
4,normal,0,8,5.0,7,4
4,normal,0,9,4.4,7,4
4,normal,0,10,8.4,8,4
4,normal,0,11,6.5,7,4
4,normal,0,12,7.7,8,4
