## E4 coreboot sweep normal
gp,pin,rcu,min,p50,mean,p95,max
1,0,normal,217.32,243.27,240.53,252.29,252.56
2,0-1,normal,174.86,198.25,195.47,212.53,212.73
4,0-3,normal,172.44,185.60,183.58,195.13,196.41
8,0-7,normal,173.28,185.23,185.92,195.74,198.91
16,0-15,normal,178.26,190.90,190.84,200.77,201.79
32,0-31,normal,183.83,193.71,193.01,197.72,202.18
64,0-63,normal,187.06,197.35,195.43,202.97,206.21
96,0-95,normal,179.88,191.51,190.56,200.89,203.93
## E4 coreboot sweep expedited
gp,pin,rcu,min,p50,mean,p95,max
1,0,expedited,132.65,144.00,142.83,147.65,149.01
2,0-1,expedited,85.94,101.18,97.91,104.47,107.77
4,0-3,expedited,83.13,85.35,85.51,88.06,88.52
8,0-7,expedited,82.16,83.79,83.78,84.85,85.54
16,0-15,expedited,82.37,84.48,84.56,86.25,86.30
32,0-31,expedited,86.62,88.30,88.37,89.65,90.39
64,0-63,expedited,98.46,100.04,100.12,102.70,102.95
96,0-95,expedited,99.49,102.09,102.08,103.82,104.29
