gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
1,normal,0,1,21,4,1
1,normal,0,2,20,4,1
1,normal,0,3,17,4,1
1,normal,0,4,15,4,1
1,normal,0,5,17,4,1
1,normal,0,6,17,4,1
1,normal,0,7,17,4,1
1,normal,0,8,18,4,1
1,normal,0,9,17,4,1
1,normal,0,10,16,4,1
1,normal,0,11,16,4,1
1,normal,0,12,17,4,1
1,normal,0,13,17,4,1
1,normal,0,14,18,4,1
1,normal,0,15,17,4,1
1,normal,0,16,17,4,1
1,normal,0,17,18,4,1
1,normal,0,18,19,4,1
1,normal,0,19,15,5,1
1,normal,0,20,18,4,1
1,normal,0,21,16,4,1
1,normal,0,22,17,4,1
1,normal,0,23,18,4,1
1,normal,0,24,17,4,1
1,normal,0,25,17,4,1
1,normal,0,26,17,4,1
1,normal,0,27,17,4,1
1,normal,0,28,16,4,1
1,normal,0,29,17,4,1
1,normal,0,30,17,4,1
1,normal,0,31,18,4,1
1,normal,0,32,17,4,1
1,normal,0,33,17,4,1
1,normal,0,34,18,4,1
1,normal,0,35,18,4,1
1,normal,0,36,16,4,1
1,normal,0,37,18,4,1
1,normal,0,38,16,4,1
1,normal,0,39,17,4,1
1,normal,0,40,17,4,1
2,normal,0,1,20,5,2
2,normal,0,2,24,5,2
2,normal,0,3,20,5,2
2,normal,0,4,17,5,2
2,normal,0,5,21,6,2
2,normal,0,6,22,5,2
2,normal,0,7,20,5,2
2,normal,0,8,23,5,2
2,normal,0,9,19,6,2
2,normal,0,10,22,5,2
2,normal,0,11,21,5,2
2,normal,0,12,19,6,2
2,normal,0,13,19,5,2
2,normal,0,14,22,5,2
2,normal,0,15,24,6,2
2,normal,0,16,18,6,2
2,normal,0,17,22,5,2
2,normal,0,18,19,5,2
2,normal,0,19,19,5,2
2,normal,0,20,21,6,2
2,normal,0,21,19,5,2
2,normal,0,22,22,6,2
2,normal,0,23,25,5,2
2,normal,0,24,16,5,2
2,normal,0,25,21,5,2
2,normal,0,26,20,5,2
2,normal,0,27,20,5,2
2,normal,0,28,23,5,2
2,normal,0,29,19,5,2
2,normal,0,30,18,5,2
2,normal,0,31,21,6,2
2,normal,0,32,24,5,2
2,normal,0,33,23,5,2
2,normal,0,34,20,5,2
2,normal,0,35,21,5,2
2,normal,0,36,23,5,2
2,normal,0,37,21,5,2
2,normal,0,38,18,5,2
2,normal,0,39,21,5,2
2,normal,0,40,19,5,2
4,normal,0,1,23,7,4
4,normal,0,2,22,7,4
4,normal,0,3,22,7,4
4,normal,0,4,23,8,4
4,normal,0,5,25,7,4
4,normal,0,6,25,7,4
4,normal,0,7,17,7,4
4,normal,0,8,18,7,4
4,normal,0,9,17,7,4
4,normal,0,10,18,7,4
4,normal,0,11,19,7,4
4,normal,0,12,22,7,4
4,normal,0,13,20,7,4
4,normal,0,14,23,7,4
4,normal,0,15,19,8,4
4,normal,0,16,21,7,4
4,normal,0,17,20,7,4
4,normal,0,18,22,7,4
4,normal,0,19,22,7,4
4,normal,0,20,21,7,4
4,normal,0,21,22,8,4
4,normal,0,22,18,7,4
4,normal,0,23,23,7,4
4,normal,0,24,18,7,4
4,normal,0,25,20,7,4
4,normal,0,26,19,7,4
4,normal,0,27,23,7,4
4,normal,0,28,18,7,4
4,normal,0,29,22,7,4
4,normal,0,30,21,7,4
4,normal,0,31,22,8,4
4,normal,0,32,17,7,4
4,normal,0,33,17,7,4
4,normal,0,34,17,7,4
4,normal,0,35,18,7,4
4,normal,0,36,22,7,4
4,normal,0,37,18,7,4
4,normal,0,38,18,7,4
4,normal,0,39,16,7,4
4,normal,0,40,17,7,4
8,normal,0,1,18,11,8
8,normal,0,2,19,11,8
8,normal,0,3,18,11,8
8,normal,0,4,17,11,8
8,normal,0,5,16,11,8
8,normal,0,6,16,11,8
8,normal,0,7,24,11,8
8,normal,0,8,20,11,8
8,normal,0,9,17,11,8
8,normal,0,10,16,11,8
8,normal,0,11,13,11,8
8,normal,0,12,21,11,8
8,normal,0,13,16,10,8
8,normal,0,14,17,11,8
8,normal,0,15,16,11,8
8,normal,0,16,16,10,8
8,normal,0,17,17,11,8
8,normal,0,18,17,11,8
8,normal,0,19,15,11,8
8,normal,0,20,27,11,8
8,normal,0,21,18,11,8
8,normal,0,22,16,10,8
8,normal,0,23,18,11,8
8,normal,0,24,16,11,8
8,normal,0,25,18,11,8
8,normal,0,26,17,11,8
8,normal,0,27,18,11,8
8,normal,0,28,19,10,8
8,normal,0,29,19,11,8
8,normal,0,30,22,10,8
8,normal,0,31,21,11,8
8,normal,0,32,20,11,8
8,normal,0,33,13,11,8
8,normal,0,34,17,12,8
8,normal,0,35,18,12,8
8,normal,0,36,12,11,8
8,normal,0,37,21,11,8
8,normal,0,38,17,11,8
8,normal,0,39,17,11,8
8,normal,0,40,22,10,8
16,normal,0,1,19,10,16
16,normal,0,2,18,12,16
16,normal,0,3,21,12,16
16,normal,0,4,20,13,16
16,normal,0,5,19,13,16
16,normal,0,6,17,12,16
16,normal,0,7,16,16,16
16,normal,0,8,19,13,16
16,normal,0,9,15,14,16
16,normal,0,10,17,13,16
16,normal,0,11,17,13,16
16,normal,0,12,16,15,16
16,normal,0,13,17,15,16
16,normal,0,14,17,18,16
16,normal,0,15,15,15,16
16,normal,0,16,16,15,16
16,normal,0,17,17,15,16
16,normal,0,18,15,15,16
16,normal,0,19,17,13,16
16,normal,0,20,17,17,16
16,normal,0,21,15,13,16
16,normal,0,22,16,12,16
16,normal,0,23,17,11,16
16,normal,0,24,16,13,16
16,normal,0,25,17,16,16
16,normal,0,26,18,12,16
16,normal,0,27,16,14,16
16,normal,0,28,15,13,16
16,normal,0,29,17,14,16
16,normal,0,30,16,15,16
16,normal,0,31,16,12,16
16,normal,0,32,16,16,16
16,normal,0,33,16,12,16
16,normal,0,34,17,14,16
16,normal,0,35,16,14,16
16,normal,0,36,16,16,16
16,normal,0,37,15,15,16
16,normal,0,38,17,12,16
16,normal,0,39,15,11,16
16,normal,0,40,20,12,16
32,normal,0,1,21,13,32
32,normal,0,2,18,18,32
32,normal,0,3,14,15,32
32,normal,0,4,14,16,32
32,normal,0,5,18,20,32
32,normal,0,6,11,14,32
32,normal,0,7,22,17,32
32,normal,0,8,18,15,32
32,normal,0,9,24,15,32
32,normal,0,10,18,17,32
32,normal,0,11,20,14,32
32,normal,0,12,9.6,16,32
32,normal,0,13,23,16,32
32,normal,0,14,19,15,32
32,normal,0,15,22,13,32
32,normal,0,16,19,16,32
32,normal,0,17,22,13,32
32,normal,0,18,22,15,32
32,normal,0,19,20,12,32
32,normal,0,20,23,15,32
32,normal,0,21,22,14,32
32,normal,0,22,24,14,32
32,normal,0,23,19,15,32
32,normal,0,24,21,17,32
32,normal,0,25,22,18,32
32,normal,0,26,22,12,32
32,normal,0,27,19,15,32
32,normal,0,28,21,17,32
32,normal,0,29,19,20,32
32,normal,0,30,19,14,32
32,normal,0,31,19,16,32
32,normal,0,32,19,15,32
32,normal,0,33,17,20,32
32,normal,0,34,21,19,32
32,normal,0,35,16,18,32
32,normal,0,36,18,13,32
32,normal,0,37,18,15,32
32,normal,0,38,17,15,32
32,normal,0,39,19,15,32
32,normal,0,40,23,15,32
64,normal,0,1,17,16,64
64,normal,0,2,16,16,64
64,normal,0,3,16,14,64
64,normal,0,4,15,11,64
64,normal,0,5,21,15,64
64,normal,0,6,16,15,64
64,normal,0,7,20,15,64
64,normal,0,8,22,16,64
64,normal,0,9,20,19,64
64,normal,0,10,17,17,64
64,normal,0,11,22,15,64
64,normal,0,12,18,20,64
64,normal,0,13,18,14,64
64,normal,0,14,19,15,64
64,normal,0,15,20,16,64
64,normal,0,16,12,20,64
64,normal,0,17,21,17,64
64,normal,0,18,16,17,64
64,normal,0,19,10,16,64
64,normal,0,20,22,16,64
64,normal,0,21,21,14,64
64,normal,0,22,20,12,64
64,normal,0,23,19,19,64
64,normal,0,24,17,16,64
64,normal,0,25,18,15,64
64,normal,0,26,11,15,64
64,normal,0,27,26,17,64
64,normal,0,28,17,16,64
64,normal,0,29,20,17,64
64,normal,0,30,17,20,64
64,normal,0,31,23,16,64
64,normal,0,32,21,16,64
64,normal,0,33,18,19,64
64,normal,0,34,19,14,64
64,normal,0,35,18,18,64
64,normal,0,36,18,14,64
64,normal,0,37,16,12,64
64,normal,0,38,17,13,64
64,normal,0,39,20,15,64
64,normal,0,40,20,14,64
96,normal,0,1,24,13,96
96,normal,0,2,18,13,96
96,normal,0,3,17,13,96
96,normal,0,4,12,16,96
96,normal,0,5,16,14,96
96,normal,0,6,23,16,96
96,normal,0,7,17,11,96
96,normal,0,8,19,16,96
96,normal,0,9,19,15,96
96,normal,0,10,14,14,96
96,normal,0,11,21,21,96
96,normal,0,12,23,14,96
96,normal,0,13,26,13,96
96,normal,0,14,20,12,96
96,normal,0,15,19,13,96
96,normal,0,16,14,15,96
96,normal,0,17,16,14,96
