gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
4,patched,0,1,0.001,8,4
4,patched,0,2,0.001,7,4
4,patched,0,3,0.001,8,4
4,patched,0,4,0.001,7,4
4,patched,0,5,0.001,7,4
4,patched,0,6,0,7,4
4,patched,0,7,0.001,8,4
4,patched,0,8,0.001,7,4
4,patched,0,9,0,7,4
4,patched,0,10,0.001,7,4
4,patched,0,11,0.001,8,4
4,patched,0,12,0.001,7,4
4,patched,0,13,0.001,8,4
4,patched,0,14,0.001,7,4
4,patched,0,15,0.001,8,4
4,patched,0,16,0.001,7,4
4,patched,0,17,0,7,4
4,patched,0,18,0.001,7,4
4,patched,0,19,0.001,8,4
4,patched,0,20,0.001,8,4
