gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
1,expedited,1,1,0.051,4,1
1,expedited,1,2,0.014,4,1
1,expedited,1,3,0.030,4,1
1,expedited,1,4,0.022,4,1
1,expedited,1,5,0.014,4,1
1,expedited,1,6,0.017,4,1
1,expedited,1,7,0.015,4,1
1,expedited,1,8,0.015,4,1
1,expedited,1,9,0.022,4,1
1,expedited,1,10,0.025,4,1
1,expedited,1,11,0.027,4,1
1,expedited,1,12,0.022,4,1
1,expedited,1,13,0.019,4,1
1,expedited,1,14,0.060,4,1
1,expedited,1,15,0.020,4,1
1,expedited,1,16,0.014,4,1
1,expedited,1,17,0.016,4,1
1,expedited,1,18,0.020,4,1
1,expedited,1,19,0.019,5,1
1,expedited,1,20,0.030,4,1
1,expedited,1,21,0.019,5,1
1,expedited,1,22,0.020,4,1
1,expedited,1,23,0.014,4,1
1,expedited,1,24,0.013,4,1
1,expedited,1,25,0.013,4,1
1,expedited,1,26,0.022,4,1
1,expedited,1,27,0.022,4,1
1,expedited,1,28,0.015,4,1
1,expedited,1,29,0.020,4,1
1,expedited,1,30,0.017,4,1
1,expedited,1,31,0.023,4,1
1,expedited,1,32,0.023,4,1
1,expedited,1,33,0.027,4,1
1,expedited,1,34,0.022,4,1
1,expedited,1,35,0.052,4,1
1,expedited,1,36,0.014,4,1
1,expedited,1,37,0.022,4,1
1,expedited,1,38,0.015,4,1
1,expedited,1,39,0.023,4,1
1,expedited,1,40,0.018,4,1
2,expedited,1,1,0.024,5,2
2,expedited,1,2,0.020,5,2
2,expedited,1,3,0.015,5,2
2,expedited,1,4,0.017,5,2
2,expedited,1,5,0.018,5,2
2,expedited,1,6,0.020,5,2
2,expedited,1,7,0.016,5,2
2,expedited,1,8,0.013,5,2
2,expedited,1,9,0.021,6,2
2,expedited,1,10,0.024,5,2
2,expedited,1,11,0.019,5,2
2,expedited,1,12,0.015,5,2
2,expedited,1,13,0.016,5,2
2,expedited,1,14,0.021,5,2
2,expedited,1,15,0.024,5,2
2,expedited,1,16,0.018,5,2
2,expedited,1,17,0.041,5,2
2,expedited,1,18,0.014,5,2
2,expedited,1,19,0.019,6,2
2,expedited,1,20,0.026,5,2
2,expedited,1,21,0.018,5,2
2,expedited,1,22,0.020,6,2
2,expedited,1,23,0.024,5,2
2,expedited,1,24,0.024,5,2
2,expedited,1,25,0.017,5,2
2,expedited,1,26,0.017,5,2
2,expedited,1,27,0.014,5,2
2,expedited,1,28,0.021,6,2
2,expedited,1,29,0.020,5,2
2,expedited,1,30,0.015,5,2
2,expedited,1,31,0.022,5,2
2,expedited,1,32,0.026,5,2
2,expedited,1,33,0.014,6,2
2,expedited,1,34,0.022,5,2
2,expedited,1,35,0.019,5,2
2,expedited,1,36,0.015,5,2
2,expedited,1,37,0.015,5,2
2,expedited,1,38,0.023,5,2
2,expedited,1,39,0.020,5,2
