## E4 coreboot sweep normal
gp,pin,rcu,min,p50,mean,p95,max
1,0,normal,240.97,272.61,270.14,284.45,288.53
2,0-1,normal,188.61,209.19,210.11,229.02,229.42
4,0-3,normal,150.48,185.91,180.09,202.47,205.28
8,0-7,normal,166.27,183.58,182.12,197.76,199.50
16,0-15,normal,169.07,194.25,195.83,212.19,224.40
32,0-31,normal,179.93,200.57,200.68,213.57,225.59
64,0-63,normal,185.20,206.02,202.95,220.29,220.52
## E4 coreboot sweep expedited
gp,pin,rcu,min,p50,mean,p95,max
1,0,expedited,173.30,189.66,189.60,202.05,204.31
2,0-1,expedited,114.43,130.12,129.40,136.67,140.56
4,0-3,expedited,103.07,105.98,105.81,108.15,108.78
8,0-7,expedited,99.52,101.74,101.88,103.06,103.10
16,0-15,expedited,108.50,112.73,112.29,114.92,115.52
32,0-31,expedited,116.09,119.14,119.03,121.44,122.12
64,0-63,expedited,127.35,129.54,129.98,132.59,134.17
