host,gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
c7g-metal,1,normal,0,1,18,4,1
c7g-metal,1,normal,0,2,20,4,1
c7g-metal,1,normal,0,3,20,4,1
c7g-metal,1,normal,0,4,16,4,1
c7g-metal,1,normal,0,5,14,4,1
c7g-metal,1,normal,0,6,21,4,1
c7g-metal,1,normal,0,7,17,4,1
c7g-metal,1,normal,0,8,20,4,1
c7g-metal,1,normal,0,9,23,4,1
c7g-metal,1,normal,0,10,15,4,1
c7g-metal,1,normal,0,11,21,4,1
c7g-metal,1,normal,0,12,21,4,1
c7g-metal,1,normal,0,13,19,4,1
c7g-metal,1,normal,0,14,23,4,1
c7g-metal,1,normal,0,15,24,4,1
c7g-metal,1,normal,0,16,20,4,1
c7g-metal,1,normal,0,17,14,4,1
c7g-metal,1,normal,0,18,23,4,1
c7g-metal,1,normal,0,19,21,4,1
c7g-metal,1,normal,0,20,14,4,1
c7g-metal,1,normal,0,21,15,4,1
c7g-metal,1,normal,0,22,18,4,1
c7g-metal,1,normal,0,23,20,4,1
c7g-metal,1,normal,0,24,21,4,1
c7g-metal,1,normal,0,25,20,4,1
c7g-metal,1,normal,0,26,20,4,1
c7g-metal,1,normal,0,27,22,4,1
c7g-metal,1,normal,0,28,19,4,1
c7g-metal,1,normal,0,29,22,4,1
c7g-metal,1,normal,0,30,17,4,1
c7g-metal,1,normal,0,31,20,4,1
c7g-metal,1,normal,0,32,21,4,1
c7g-metal,1,normal,0,33,22,4,1
c7g-metal,1,normal,0,34,18,4,1
c7g-metal,1,normal,0,35,20,4,1
c7g-metal,1,normal,0,36,19,4,1
c7g-metal,1,normal,0,37,23,4,1
c7g-metal,1,normal,0,38,18,4,1
c7g-metal,1,normal,0,39,19,4,1
c7g-metal,1,normal,0,40,21,4,1
c7g-metal,2,normal,0,1,19,5,2
c7g-metal,2,normal,0,2,22,5,2
c7g-metal,2,normal,0,3,19,5,2
c7g-metal,2,normal,0,4,18,5,2
c7g-metal,2,normal,0,5,20,5,2
c7g-metal,2,normal,0,6,22,5,2
c7g-metal,2,normal,0,7,18,5,2
c7g-metal,2,normal,0,8,22,5,2
