gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
1,expedited,1,1,0.054,4,1
1,expedited,1,2,0.042,4,1
1,expedited,1,3,0.060,4,1
1,expedited,1,4,0.041,5,1
1,expedited,1,5,0.041,5,1
1,expedited,1,6,0.041,4,1
1,expedited,1,7,0.062,4,1
1,expedited,1,8,0.057,4,1
1,expedited,1,9,0.055,4,1
1,expedited,1,10,0.045,4,1
1,expedited,1,11,0.042,4,1
1,expedited,1,12,0.050,4,1
1,expedited,1,13,0.043,4,1
1,expedited,1,14,0.034,4,1
1,expedited,1,15,0.040,4,1
1,expedited,1,16,0.044,4,1
1,expedited,1,17,0.053,4,1
1,expedited,1,18,0.038,4,1
1,expedited,1,19,0.036,4,1
1,expedited,1,20,0.041,4,1
1,expedited,1,21,0.043,4,1
1,expedited,1,22,0.042,4,1
1,expedited,1,23,0.041,4,1
1,expedited,1,24,0.058,4,1
1,expedited,1,25,0.039,4,1
1,expedited,1,26,0.038,4,1
1,expedited,1,27,0.043,4,1
1,expedited,1,28,0.039,4,1
1,expedited,1,29,0.057,4,1
1,expedited,1,30,0.055,4,1
1,expedited,1,31,0.051,4,1
1,expedited,1,32,0.052,4,1
1,expedited,1,33,0.054,4,1
1,expedited,1,34,0.044,4,1
1,expedited,1,35,0.041,4,1
1,expedited,1,36,0.048,4,1
1,expedited,1,37,0.055,4,1
1,expedited,1,38,0.069,4,1
1,expedited,1,39,0.050,4,1
1,expedited,1,40,0.057,4,1
2,expedited,1,1,0.050,5,2
2,expedited,1,2,0.050,6,2
2,expedited,1,3,0.074,5,2
2,expedited,1,4,0.048,5,2
2,expedited,1,5,0.030,5,2
2,expedited,1,6,0.057,5,2
2,expedited,1,7,0.039,5,2
2,expedited,1,8,0.063,5,2
2,expedited,1,9,0.049,5,2
2,expedited,1,10,0.037,5,2
2,expedited,1,11,0.037,5,2
2,expedited,1,12,0.061,6,2
2,expedited,1,13,0.057,5,2
2,expedited,1,14,0.054,5,2
2,expedited,1,15,0.066,6,2
2,expedited,1,16,0.055,5,2
2,expedited,1,17,0.053,5,2
2,expedited,1,18,0.066,5,2
2,expedited,1,19,0.041,5,2
2,expedited,1,20,0.046,6,2
2,expedited,1,21,0.037,6,2
2,expedited,1,22,0.047,6,2
2,expedited,1,23,0.036,5,2
2,expedited,1,24,0.055,5,2
2,expedited,1,25,0.048,6,2
2,expedited,1,26,0.049,5,2
2,expedited,1,27,0.053,6,2
2,expedited,1,28,0.051,6,2
2,expedited,1,29,0.054,5,2
2,expedited,1,30,0.047,5,2
2,expedited,1,31,0.053,6,2
