gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
1,expedited,1,1,0.024,4,1
1,expedited,1,2,0.021,4,1
1,expedited,1,3,0.018,4,1
1,expedited,1,4,0.019,4,1
1,expedited,1,5,0.025,4,1
1,expedited,1,6,0.020,4,1
1,expedited,1,7,0.018,4,1
1,expedited,1,8,0.021,4,1
1,expedited,1,9,0.021,4,1
1,expedited,1,10,0.021,4,1
1,expedited,1,11,0.017,4,1
1,expedited,1,12,0.020,4,1
1,expedited,1,13,0.020,4,1
1,expedited,1,14,0.019,5,1
1,expedited,1,15,0.018,4,1
1,expedited,1,16,0.018,4,1
1,expedited,1,17,0.018,4,1
1,expedited,1,18,0.018,4,1
1,expedited,1,19,0.022,4,1
1,expedited,1,20,0.021,4,1
1,expedited,1,21,0.022,4,1
1,expedited,1,22,0.019,4,1
1,expedited,1,23,0.019,4,1
1,expedited,1,24,0.019,4,1
1,expedited,1,25,0.018,4,1
1,expedited,1,26,0.019,4,1
1,expedited,1,27,0.025,4,1
1,expedited,1,28,0.019,4,1
1,expedited,1,29,0.018,4,1
1,expedited,1,30,0.023,4,1
1,expedited,1,31,0.021,4,1
1,expedited,1,32,0.019,4,1
1,expedited,1,33,0.019,4,1
1,expedited,1,34,0.019,4,1
1,expedited,1,35,0.020,4,1
1,expedited,1,36,0.021,4,1
1,expedited,1,37,0.018,4,1
1,expedited,1,38,0.022,4,1
1,expedited,1,39,0.021,4,1
1,expedited,1,40,0.030,4,1
2,expedited,1,1,0.018,5,2
2,expedited,1,2,0.018,5,2
2,expedited,1,3,0.023,5,2
2,expedited,1,4,0.022,5,2
2,expedited,1,5,0.018,5,2
2,expedited,1,6,0.021,5,2
2,expedited,1,7,0.020,5,2
2,expedited,1,8,0.019,5,2
2,expedited,1,9,0.018,6,2
2,expedited,1,10,0.024,5,2
2,expedited,1,11,0.020,5,2
2,expedited,1,12,0.021,5,2
2,expedited,1,13,0.021,6,2
2,expedited,1,14,0.023,5,2
2,expedited,1,15,0.021,5,2
2,expedited,1,16,0.022,5,2
2,expedited,1,17,0.019,5,2
2,expedited,1,18,0.019,5,2
2,expedited,1,19,0.019,5,2
2,expedited,1,20,0.020,5,2
2,expedited,1,21,0.019,5,2
2,expedited,1,22,0.018,5,2
2,expedited,1,23,0.019,5,2
2,expedited,1,24,0.026,5,2
2,expedited,1,25,0.020,5,2
2,expedited,1,26,0.019,5,2
2,expedited,1,27,0.019,5,2
2,expedited,1,28,0.020,5,2
2,expedited,1,29,0.019,5,2
2,expedited,1,30,0.018,5,2
2,expedited,1,31,0.019,5,2
2,expedited,1,32,0.020,6,2
2,expedited,1,33,0.025,5,2
2,expedited,1,34,0.022,5,2
2,expedited,1,35,0.020,5,2
2,expedited,1,36,0.019,5,2
2,expedited,1,37,0.021,5,2
2,expedited,1,38,0.020,5,2
2,expedited,1,39,0.019,5,2
2,expedited,1,40,0.021,5,2
4,expedited,1,1,0.023,7,4
4,expedited,1,2,0.023,7,4
4,expedited,1,3,0.020,7,4
4,expedited,1,4,0.021,7,4
4,expedited,1,5,0.020,7,4
4,expedited,1,6,0.024,7,4
4,expedited,1,7,0.020,7,4
4,expedited,1,8,0.021,7,4
4,expedited,1,9,0.023,7,4
4,expedited,1,10,0.020,7,4
4,expedited,1,11,0.022,7,4
4,expedited,1,12,0.019,8,4
4,expedited,1,13,0.019,7,4
4,expedited,1,14,0.021,7,4
4,expedited,1,15,0.019,7,4
4,expedited,1,16,0.023,7,4
4,expedited,1,17,0.019,7,4
4,expedited,1,18,0.018,8,4
4,expedited,1,19,0.023,7,4
4,expedited,1,20,0.020,7,4
4,expedited,1,21,0.020,7,4
4,expedited,1,22,0.023,7,4
4,expedited,1,23,0.020,7,4
4,expedited,1,24,0.024,8,4
4,expedited,1,25,0.021,7,4
4,expedited,1,26,0.019,7,4
4,expedited,1,27,0.021,7,4
4,expedited,1,28,0.020,7,4
4,expedited,1,29,0.023,7,4
4,expedited,1,30,0.021,7,4
4,expedited,1,31,0.020,7,4
4,expedited,1,32,0.024,7,4
4,expedited,1,33,0.020,7,4
4,expedited,1,34,0.020,7,4
4,expedited,1,35,0.023,7,4
4,expedited,1,36,0.020,7,4
4,expedited,1,37,0.025,7,4
4,expedited,1,38,0.018,7,4
4,expedited,1,39,0.018,7,4
4,expedited,1,40,0.023,7,4
8,expedited,1,1,0.022,11,8
8,expedited,1,2,0.025,11,8
8,expedited,1,3,0.019,10,8
8,expedited,1,4,0.028,11,8
8,expedited,1,5,0.020,10,8
8,expedited,1,6,0.023,11,8
8,expedited,1,7,0.021,11,8
8,expedited,1,8,0.021,11,8
8,expedited,1,9,0.020,11,8
8,expedited,1,10,0.018,11,8
8,expedited,1,11,0.021,10,8
8,expedited,1,12,0.021,11,8
8,expedited,1,13,0.022,11,8
8,expedited,1,14,0.023,11,8
8,expedited,1,15,0.024,10,8
8,expedited,1,16,0.024,11,8
8,expedited,1,17,0.023,11,8
8,expedited,1,18,0.019,11,8
8,expedited,1,19,0.019,11,8
8,expedited,1,20,0.018,11,8
8,expedited,1,21,0.022,11,8
8,expedited,1,22,0.019,11,8
8,expedited,1,23,0.021,10,8
8,expedited,1,24,0.023,11,8
8,expedited,1,25,0.019,11,8
8,expedited,1,26,0.019,11,8
8,expedited,1,27,0.024,11,8
8,expedited,1,28,0.022,11,8
8,expedited,1,29,0.019,11,8
8,expedited,1,30,0.021,11,8
8,expedited,1,31,0.019,11,8
