gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
1,expedited,1,1,0.025,4,1
1,expedited,1,2,0.024,4,1
1,expedited,1,3,0.023,4,1
1,expedited,1,4,0.023,4,1
1,expedited,1,5,0.026,5,1
1,expedited,1,6,0.022,5,1
1,expedited,1,7,0.026,4,1
1,expedited,1,8,0.030,4,1
1,expedited,1,9,0.024,4,1
1,expedited,1,10,0.024,4,1
1,expedited,1,11,0.022,4,1
1,expedited,1,12,0.025,4,1
1,expedited,1,13,0.023,4,1
1,expedited,1,14,0.023,4,1
1,expedited,1,15,0.023,4,1
1,expedited,1,16,0.028,4,1
1,expedited,1,17,0.025,4,1
1,expedited,1,18,0.025,4,1
1,expedited,1,19,0.027,4,1
1,expedited,1,20,0.028,4,1
1,expedited,1,21,0.025,4,1
1,expedited,1,22,0.025,4,1
1,expedited,1,23,0.025,5,1
1,expedited,1,24,0.025,4,1
1,expedited,1,25,0.024,4,1
1,expedited,1,26,0.023,4,1
1,expedited,1,27,0.021,4,1
1,expedited,1,28,0.070,4,1
1,expedited,1,29,0.023,5,1
1,expedited,1,30,0.023,4,1
1,expedited,1,31,0.024,4,1
1,expedited,1,32,0.026,4,1
1,expedited,1,33,0.024,4,1
1,expedited,1,34,0.026,4,1
1,expedited,1,35,0.024,4,1
1,expedited,1,36,0.026,4,1
1,expedited,1,37,0.024,5,1
1,expedited,1,38,0.024,4,1
1,expedited,1,39,0.031,4,1
1,expedited,1,40,0.027,4,1
2,expedited,1,1,0.026,5,2
2,expedited,1,2,0.024,5,2
2,expedited,1,3,0.032,5,2
2,expedited,1,4,0.023,5,2
2,expedited,1,5,0.024,5,2
2,expedited,1,6,0.023,5,2
2,expedited,1,7,0.024,6,2
2,expedited,1,8,0.020,5,2
2,expedited,1,9,0.023,5,2
2,expedited,1,10,0.021,5,2
2,expedited,1,11,0.025,5,2
2,expedited,1,12,0.023,6,2
2,expedited,1,13,0.023,5,2
2,expedited,1,14,0.025,6,2
2,expedited,1,15,0.025,5,2
2,expedited,1,16,0.022,5,2
2,expedited,1,17,0.025,5,2
2,expedited,1,18,0.026,5,2
2,expedited,1,19,0.023,5,2
2,expedited,1,20,0.025,6,2
2,expedited,1,21,0.023,5,2
2,expedited,1,22,0.026,5,2
2,expedited,1,23,0.028,6,2
2,expedited,1,24,0.023,5,2
2,expedited,1,25,0.028,5,2
2,expedited,1,26,0.026,5,2
2,expedited,1,27,0.024,5,2
2,expedited,1,28,0.024,5,2
2,expedited,1,29,0.022,5,2
2,expedited,1,30,0.025,5,2
2,expedited,1,31,0.025,5,2
2,expedited,1,32,0.024,5,2
2,expedited,1,33,0.025,5,2
2,expedited,1,34,0.022,5,2
2,expedited,1,35,0.027,5,2
2,expedited,1,36,0.023,5,2
2,expedited,1,37,0.025,5,2
2,expedited,1,38,0.023,5,2
2,expedited,1,39,0.051,5,2
2,expedited,1,40,0.024,5,2
4,expedited,1,1,0.024,7,4
4,expedited,1,2,0.023,7,4
4,expedited,1,3,0.028,8,4
4,expedited,1,4,0.13,7,4
4,expedited,1,5,0.024,8,4
4,expedited,1,6,0.031,7,4
4,expedited,1,7,0.022,7,4
4,expedited,1,8,0.026,7,4
4,expedited,1,9,0.024,8,4
4,expedited,1,10,0.021,7,4
4,expedited,1,11,0.023,8,4
4,expedited,1,12,0.024,7,4
4,expedited,1,13,0.026,7,4
4,expedited,1,14,0.027,7,4
4,expedited,1,15,0.024,8,4
4,expedited,1,16,0.024,8,4
4,expedited,1,17,0.025,8,4
4,expedited,1,18,0.021,8,4
4,expedited,1,19,0.024,7,4
4,expedited,1,20,0.025,7,4
4,expedited,1,21,0.024,7,4
4,expedited,1,22,0.024,7,4
4,expedited,1,23,0.028,7,4
4,expedited,1,24,0.021,8,4
4,expedited,1,25,0.020,8,4
4,expedited,1,26,0.022,7,4
4,expedited,1,27,0.023,8,4
4,expedited,1,28,0.025,8,4
4,expedited,1,29,0.025,8,4
4,expedited,1,30,0.025,7,4
4,expedited,1,31,0.023,7,4
4,expedited,1,32,0.024,8,4
4,expedited,1,33,0.025,8,4
4,expedited,1,34,0.080,8,4
4,expedited,1,35,0.022,8,4
4,expedited,1,36,0.021,8,4
4,expedited,1,37,0.024,7,4
4,expedited,1,38,0.024,8,4
4,expedited,1,39,0.026,7,4
4,expedited,1,40,0.025,8,4
8,expedited,1,1,0.023,8,8
