gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
1,normal,0,1,7.9,4,1
1,normal,0,2,7.2,4,1
1,normal,0,3,15,4,1
1,normal,0,4,12,4,1
1,normal,0,5,14,4,1
1,normal,0,6,14,4,1
1,normal,0,7,14,4,1
1,normal,0,8,18,4,1
1,normal,0,9,10,4,1
1,normal,0,10,15,4,1
1,normal,0,11,13,4,1
1,normal,0,12,14,4,1
1,normal,0,13,19,4,1
1,normal,0,14,5.6,4,1
1,normal,0,15,11,4,1
1,normal,0,16,14,4,1
1,normal,0,17,19,4,1
1,normal,0,18,15,4,1
1,normal,0,19,17,4,1
1,normal,0,20,14,4,1
1,normal,0,21,12,4,1
1,normal,0,22,10,4,1
1,normal,0,23,9.3,4,1
1,normal,0,24,6.8,5,1
1,normal,0,25,9.0,4,1
1,normal,0,26,14,4,1
1,normal,0,27,11,4,1
1,normal,0,28,14,4,1
1,normal,0,29,13,4,1
1,normal,0,30,18,4,1
1,normal,0,31,16,4,1
1,normal,0,32,8.4,4,1
1,normal,0,33,18,4,1
1,normal,0,34,19,4,1
1,normal,0,35,10,4,1
1,normal,0,36,9.5,4,1
1,normal,0,37,9.5,4,1
1,normal,0,38,11,4,1
1,normal,0,39,13,4,1
1,normal,0,40,19,4,1
2,normal,0,1,12,5,2
2,normal,0,2,16,5,2
2,normal,0,3,10,5,2
2,normal,0,4,16,5,2
2,normal,0,5,6.2,6,2
2,normal,0,6,12,6,2
2,normal,0,7,11,6,2
2,normal,0,8,12,5,2
2,normal,0,9,14,5,2
2,normal,0,10,14,5,2
2,normal,0,11,17,5,2
2,normal,0,12,11,5,2
2,normal,0,13,22,6,2
2,normal,0,14,16,5,2
2,normal,0,15,12,5,2
2,normal,0,16,20,5,2
2,normal,0,17,9.3,6,2
2,normal,0,18,14,5,2
2,normal,0,19,9.6,5,2
2,normal,0,20,18,6,2
2,normal,0,21,15,5,2
2,normal,0,22,11,5,2
2,normal,0,23,7.6,5,2
2,normal,0,24,19,5,2
2,normal,0,25,15,6,2
2,normal,0,26,16,5,2
2,normal,0,27,13,5,2
2,normal,0,28,13,5,2
2,normal,0,29,15,5,2
2,normal,0,30,13,5,2
2,normal,0,31,13,5,2
2,normal,0,32,13,5,2
2,normal,0,33,10,6,2
2,normal,0,34,15,6,2
2,normal,0,35,10,6,2
2,normal,0,36,16,5,2
2,normal,0,37,18,5,2
2,normal,0,38,9.8,5,2
2,normal,0,39,14,5,2
2,normal,0,40,11,6,2
4,normal,0,1,15,8,4
4,normal,0,2,9.6,7,4
4,normal,0,3,7.6,7,4
4,normal,0,4,11,7,4
