gp,rcu,rcu_eff,rep,hostmm_ms,threads,gomaxprocs
1,normal,0,1,18,4,1
1,normal,0,2,20,4,1
1,normal,0,3,20,4,1
1,normal,0,4,16,4,1
1,normal,0,5,14,4,1
1,normal,0,6,21,4,1
1,normal,0,7,17,4,1
1,normal,0,8,20,4,1
1,normal,0,9,23,4,1
1,normal,0,10,15,4,1
1,normal,0,11,21,4,1
1,normal,0,12,21,4,1
1,normal,0,13,19,4,1
1,normal,0,14,23,4,1
1,normal,0,15,24,4,1
1,normal,0,16,20,4,1
1,normal,0,17,14,4,1
1,normal,0,18,23,4,1
1,normal,0,19,21,4,1
1,normal,0,20,14,4,1
1,normal,0,21,15,4,1
1,normal,0,22,18,4,1
1,normal,0,23,20,4,1
1,normal,0,24,21,4,1
1,normal,0,25,20,4,1
1,normal,0,26,20,4,1
1,normal,0,27,22,4,1
1,normal,0,28,19,4,1
1,normal,0,29,22,4,1
1,normal,0,30,17,4,1
1,normal,0,31,20,4,1
1,normal,0,32,21,4,1
1,normal,0,33,22,4,1
1,normal,0,34,18,4,1
1,normal,0,35,20,4,1
1,normal,0,36,19,4,1
1,normal,0,37,23,4,1
1,normal,0,38,18,4,1
1,normal,0,39,19,4,1
1,normal,0,40,21,4,1
2,normal,0,1,19,5,2
2,normal,0,2,22,5,2
2,normal,0,3,19,5,2
2,normal,0,4,18,5,2
2,normal,0,5,20,5,2
2,normal,0,6,22,5,2
2,normal,0,7,18,5,2
2,normal,0,8,22,5,2
2,normal,0,9,21,5,2
2,normal,0,10,17,5,2
2,normal,0,11,21,5,2
2,normal,0,12,20,5,2
2,normal,0,13,19,5,2
2,normal,0,14,20,5,2
2,normal,0,15,20,5,2
2,normal,0,16,20,5,2
2,normal,0,17,23,5,2
2,normal,0,18,17,5,2
2,normal,0,19,22,5,2
2,normal,0,20,18,5,2
2,normal,0,21,21,5,2
2,normal,0,22,19,5,2
2,normal,0,23,20,5,2
2,normal,0,24,20,5,2
2,normal,0,25,20,6,2
2,normal,0,26,14,5,2
2,normal,0,27,21,6,2
2,normal,0,28,22,5,2
2,normal,0,29,19,5,2
2,normal,0,30,20,5,2
2,normal,0,31,20,5,2
2,normal,0,32,20,5,2
2,normal,0,33,22,5,2
2,normal,0,34,20,5,2
2,normal,0,35,25,5,2
2,normal,0,36,26,5,2
2,normal,0,37,22,5,2
2,normal,0,38,21,5,2
2,normal,0,39,22,5,2
2,normal,0,40,23,5,2
4,normal,0,1,20,8,4
4,normal,0,2,15,7,4
4,normal,0,3,21,7,4
4,normal,0,4,15,7,4
4,normal,0,5,21,7,4
4,normal,0,6,14,8,4
4,normal,0,7,21,7,4
4,normal,0,8,21,7,4
4,normal,0,9,14,7,4
4,normal,0,10,22,8,4
4,normal,0,11,19,7,4
4,normal,0,12,23,7,4
4,normal,0,13,24,7,4
4,normal,0,14,14,7,4
4,normal,0,15,22,7,4
4,normal,0,16,22,7,4
4,normal,0,17,20,7,4
4,normal,0,18,24,7,4
4,normal,0,19,16,7,4
4,normal,0,20,14,7,4
4,normal,0,21,21,7,4
4,normal,0,22,21,7,4
4,normal,0,23,22,7,4
4,normal,0,24,19,8,4
4,normal,0,25,20,7,4
4,normal,0,26,21,7,4
4,normal,0,27,22,7,4
4,normal,0,28,20,7,4
4,normal,0,29,26,7,4
4,normal,0,30,21,9,4
4,normal,0,31,14,7,4
4,normal,0,32,20,7,4
4,normal,0,33,23,7,4
4,normal,0,34,14,7,4
4,normal,0,35,23,8,4
4,normal,0,36,21,7,4
4,normal,0,37,18,7,4
4,normal,0,38,18,8,4
4,normal,0,39,17,7,4
4,normal,0,40,20,7,4
8,normal,0,1,22,11,8
8,normal,0,2,16,11,8
8,normal,0,3,23,11,8
8,normal,0,4,24,10,8
8,normal,0,5,23,11,8
8,normal,0,6,18,11,8
8,normal,0,7,19,11,8
8,normal,0,8,16,10,8
8,normal,0,9,15,11,8
8,normal,0,10,27,10,8
8,normal,0,11,23,11,8
8,normal,0,12,22,11,8
8,normal,0,13,26,11,8
8,normal,0,14,19,11,8
8,normal,0,15,27,11,8
8,normal,0,16,21,11,8
8,normal,0,17,21,11,8
8,normal,0,18,20,11,8
8,normal,0,19,23,11,8
8,normal,0,20,23,11,8
8,normal,0,21,18,10,8
8,normal,0,22,22,10,8
8,normal,0,23,21,11,8
8,normal,0,24,23,11,8
8,normal,0,25,20,11,8
8,normal,0,26,24,11,8
8,normal,0,27,16,11,8
8,normal,0,28,22,11,8
8,normal,0,29,20,11,8
8,normal,0,30,23,11,8
8,normal,0,31,19,11,8
8,normal,0,32,20,11,8
8,normal,0,33,13,11,8
8,normal,0,34,23,11,8
8,normal,0,35,18,10,8
8,normal,0,36,21,11,8
8,normal,0,37,21,10,8
8,normal,0,38,23,11,8
8,normal,0,39,17,11,8
8,normal,0,40,25,11,8
16,normal,0,1,14,15,16
16,normal,0,2,22,13,16
16,normal,0,3,20,14,16
16,normal,0,4,23,14,16
